Reference, Value, Footprint, Datasheet, Manufacturer Part Number, Package, Type, Generic Name, LCSC Part Number, Manufacturer, Spice_Model, Spice_Netlist_Enabled, Spice_Primitive, Farnell
"D11","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D23","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D35","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D47","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"SW_RESET1","SWITCH_PUSH","Laptreus v2 Footprints:SW_SPST_B3U-1000P","","B3U-1000P","","SPST Switch","","C231329","Omron Electronics","","","",""
"D10","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D22","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D34","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D46","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D9","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D21","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D33","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D45","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D8","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D20","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D32","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D44","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D7","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D19","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D31","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D43","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D6","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D18","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D30","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D42","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D5","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D17","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D29","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D41","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D4","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D16","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D28","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D40","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D3","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D15","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D27","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D39","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D2","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D14","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D26","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D38","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"R2","100K","Laptreus v2 Footprints:0805-NO","","CR0805F81003G","0805","Resistor","","C101406","LIZ Elec","","","",""
"R5","100K","Laptreus v2 Footprints:0805-NO","","CR0805F81003G","0805","Resistor","","C101406","LIZ Elec","","","",""
"R4","100K","Laptreus v2 Footprints:0805-NO","","CR0805F81003G","0805","Resistor","","C101406","LIZ Elec","","","",""
"R3","10K","Laptreus v2 Footprints:0805-NO","","CR0805F81002G","0805","Resistor","","C101405","LIZ Elec","","","",""
"C5","10µF","Laptreus v2 Footprints:Capacitor-0805MP","","GRM21BR61A106KE19L","0805","Capacitor","","C77073","Murata","","","",""
"R1","1K","Laptreus v2 Footprints:0805-NO","","CR0805F81001G","0805","Resistor","","C101404","LIZ Elec","","","",""
"L4","ORANGE","Adafruit Feather 32u4 Bluefruit LE:CHIPLED_0805_NOOUTLINE","","TJ-S2012SW8TGLC0A-A5","0805","LED","","C192670","TOGIALED","","","",""
"U1","MCP73831T-2ATI/OT","Adafruit Feather 32u4 Bluefruit LE:SOT23-5","","MCP73831T-2ATI/OT","SOT23-5","Power Management ICs","","C14879","Microchip Tech","","","",""
"X1","JSTPH","Adafruit Feather 32u4 Bluefruit LE:JSTPH2","","A2001WR-S-2P","JST PH","Connector","","C375128","CNJM","","","",""
"TP3","SWDIO","Adafruit Feather 32u4 Bluefruit LE:PAD-1.5X2.0","","","","Pin","","","","","","",""
"TP2","SWDIO","Adafruit Feather 32u4 Bluefruit LE:PAD-1.5X2.0","","","","Pin","","","","","","",""
"TP1","SWCLK","Adafruit Feather 32u4 Bluefruit LE:PAD-1.5X2.0","","","","Pin","","","","","","",""
"C2","1µF","Laptreus v2 Footprints:Capacitor-0805MP","","GRM21BR71C105KA01L","0805","Capacitor","","C77079","Murata","","","",""
"R7","2.2K","Laptreus v2 Footprints:0805-NO","","CR0805F82201G","0805","Resistor","","C101565","LIZ Elec","2.2K","Y","R",""
"R6","2.2K","Laptreus v2 Footprints:0805-NO","","CR0805F82201G","0805","Resistor","","C101565","LIZ Elec","2.2K","Y","R",""
"L3","BLUE","Adafruit Feather 32u4 Bluefruit LE:CHIPLED_0805_NOOUTLINE","","TJ-S2012SW8TGLC6B-A5","0805","LED","","C192320","TOGIALED","","","",""
"L2","RED","Adafruit Feather 32u4 Bluefruit LE:CHIPLED_0805_NOOUTLINE","","TJ-S2012SW8TGLC2R-A5","0805","LED","","C192318","TOGIALED","","","",""
"D49","MBR120","Adafruit Feather 32u4 Bluefruit LE:SOD-123","","MBR120LSF","SOD-123","Schotky Diode","","C130880","Shikues","","","",""
"U2","SPX3819-3.3","Adafruit Feather 32u4 Bluefruit LE:SOT23-5","","SPX3819M5-L-3-3/TR","SOT23-5","LDO","","C9055","Exar","","","",""
"Y1","8MHz","Adafruit Feather 32u4 Bluefruit LE:RESONATOR-SMD","","CSTCE8M00G15C99-R0","SMD-3213-3P","Ceramic Resonator","","C110614","Murata Electronics","","","",""
"C6","1µF","Laptreus v2 Footprints:Capacitor-0805MP","","GRM21BR71C105KA01L","0805","Capacitor","","C77079","Murata","","","",""
"IC1","ATMEGA32U4","Package_QFP:TQFP-44_10x10mm_P0.8mm","","ATMEGA32U4-AU","TQFP","MCU","","C44854","Microchip Tech","","","",""
"L1","YELLOW","Adafruit Feather 32u4 Bluefruit LE:CHIPLED_0805_NOOUTLINE","","TJ-S2012SW8TGLC9Y-A5","0805","LED","","C192671","TOGIALED","","","",""
"C7","1µF","Laptreus v2 Footprints:Capacitor-0805MP","","GRM21BR71C105KA01L","0805","Capacitor","","C77079","Murata","","","",""
"C3","10µF","Laptreus v2 Footprints:Capacitor-0805MP","","GRM21BR61A106KE19L","0805","Capacitor","","C77073","Murata","","","",""
"C4","1µF","Laptreus v2 Footprints:Capacitor-0805MP","","GRM21BR71C105KA01L","0805","Capacitor","","C77079","Murata","","","",""
"C1","10µF","Laptreus v2 Footprints:Capacitor-0805MP","","GRM21BR61A106KE19L","0805","Capacitor","","C77073","Murata","","","",""
"SW_POW_EN1","SW_SPDT","Laptreus v2 Footprints:EG1218","","EG1218","EG1218","SPDT Switch","","C273394","E-Switch","","","",""
"U3","MDBT40","Adafruit Feather 32u4 Bluefruit LE:BLE_MODULE_RAYTAC_MDBT40","","MDBT40","MDBT40","MCU","","","Raytac","","","",""
"D1","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D13","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D25","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D37","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D12","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D24","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D36","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"D48","DIODE","Laptreus v2 Footprints:Diode-dual","","1N4148W","SOD-123","Diode","1N4148","C109203","Shikues","","","",""
"SW_POW_EN2","SW_SPDT","Laptreus v2 Footprints:EG1218","","EG1218","EG1218","SPDT Switch","","C273394","E-Switch","","","",""
"J1","HRO-TYPE-C-31-M-12","Laptreus v2 Footprints:HRO-TYPE-C-31-M-12","","TYPE-C-31-M-13","","Connector","","C223906","Korean Hroparts Elec","","","",""
"R12","5.1K","Laptreus v2 Footprints:0805-NO","~","CR0805F85101G","0805","Resistor","","C101769","LIZ Elec","","","",""
"R11","5.1K","Laptreus v2 Footprints:0805-NO","~","CR0805F85101G","0805","Resistor","","C101769","LIZ Elec","","","",""
"S1","Screw","Laptreus v2 Footprints:PKRH-Round","~","","","Screwhole","","","","","","",""
"S2","Screw","Laptreus v2 Footprints:PKRH","~","","","Screwhole","","","","","","",""
"S4","Screw","Laptreus v2 Footprints:PKRHSL","~","","","Screwhole","","","","","","",""
"S5","Screw","Laptreus v2 Footprints:PKRHSL","~","","","Screwhole","","","","","","",""
"S6","Screw","Laptreus v2 Footprints:PKRH","~","","","Screwhole","","","","","","",""
"J2","ISP","Laptreus v2 Footprints:isp_standard","~","","","Pin","","","","","","",""
"F1","Polyfuse","Laptreus v2 Footprints:0805-NO","~","12H1200C","SMD1206","Polyfuse","PPTC Resettable Fuse","C182310","Shenzhen lanson Elec","","","",""
"S8","Tofu screw","Laptreus v2 Footprints:PKRH","~","","","Screwhole","","","","","","",""
"S9","Tofu screw","Laptreus v2 Footprints:PKRH","~","","","Screwhole","","","","","","",""
"R8","22","Laptreus v2 Footprints:0805-NO","~","CR0805F822R0G","0805","Resistor","","C101576","LIZ Elec","","","",""
"R9","22","Laptreus v2 Footprints:0805-NO","~","CR0805F822R0G","0805","Resistor","","C101576","LIZ Elec","","","",""
"U6","USBLC6-2SC6","Laptreus v2 Footprints:USBLC6-2SC6","","USBLC6-2SC6","SOT23-6","ESD Diodes","","C7519","STMicroelectronics","","","","1295310"
"R10","1K","Laptreus v2 Footprints:0805-NO","~","CR0805F81001G","0805","Resistor","","C101404","LIZ Elec","","","",""
"C20","100nF","Laptreus v2 Footprints:Capacitor-0805MP","","GCM21BR72A104KA37L","0805","Capacitor","","C85866","Murata","","","",""
"S7","Tofu screw","Laptreus v2 Footprints:PKRH","~","","","Screwhole","","","","","","",""
"R13","2.2K","Laptreus v2 Footprints:0805-NO","~","CR0805F82201G","0805","Resistor","","C101565","LIZ Elec","","","",""
"S3","Screw","Laptreus v2 Footprints:PKRH","~","","","Screwhole","","","","","","",""
"X2","JSTPH","Adafruit Feather 32u4 Bluefruit LE:JSTPH2","","A2001WR-S-2P","JST PH","Connector","","C375128","CNJM","","","",""
"JP1","PINHD-1X1CB","Adafruit NeoPixel Ring 12:1X01-CLEANBIG","","","","Pin","","","","","","",""
"JP2","PINHD-1X1CB","Adafruit NeoPixel Ring 12:1X01-CLEANBIG","","","","Pin","","","","","","",""
"JP3","PINHD-1X1CB","Adafruit NeoPixel Ring 12:1X01-CLEANBIG","","","","Pin","","","","","","",""
