Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 100),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),Unit Price (@ Batch Size: 100),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Lowest Price (Selected)],SKU [Lowest Price (Selected)],Packaging [Lowest Price (Selected)],Unit Price (@ Batch Size: 100) [Lowest Price (Selected)],Line Total [Lowest Price (Selected)],Batch Total [Lowest Price (Selected)],In Stock [Lowest Price (Selected)],MOQ [Lowest Price (Selected)],URL [Lowest Price (Selected)],Notes
,,,,,,,,,Digi-Key,LCSC,Mouser,Digi-Key,LCSC,Mouser,Digi-Key,LCSC,Mouser,Digi-Key,LCSC,Mouser,Digi-Key,LCSC,Mouser,Digi-Key,LCSC,Mouser,,,,,,,,,,
4,GRM21BR71H105KA12L,Murata,GRM21BR71H105KA12L,https://octopart.com/grm21br71h105ka12l-murata-601372,C2 C4 C5 C7,C77079,1uF capacitor 0805,400,,C77083,,,,,,0.0383,,,81380,,,10,,,https://octopart.com/click/track?ai=8237&sig=0ce59c6&sid=27971&ppid=601372&vpid=445987168&ct=offers,,LCSC,C77083,,0.0383,0.1532,15.32,81380,10,https://octopart.com/click/track?ai=8237&sig=0ce59c6&sid=27971&ppid=601372&vpid=445987168&ct=offers,
1,GCM21BR72A104KA37L,Murata,GCM21BR72A104KA37L,https://octopart.com/gcm21br72a104ka37l-murata-7894859,C3,C85866,10uF capacitor 0805,100,490-4789-1-ND,C85866,81-GCM21BR72A104KA7L,Cut Tape,,Tape & Reel,0.1501,0.0218,0.15,12563562,217480,2061561,1,20,1,https://octopart.com/click/track?ai=8237&sig=03cc8ab&sid=459&ppid=7894859&vpid=34232164&ct=offers,https://octopart.com/click/track?ai=8237&sig=03a5d9d&sid=27971&ppid=7894859&vpid=445986718&ct=offers,https://octopart.com/click/track?ai=8237&sig=06dc571&sid=2401&ppid=7894859&vpid=37727050&ct=offers,LCSC,C85866,,0.0218,0.0218,2.18,217480,20,https://octopart.com/click/track?ai=8237&sig=03a5d9d&sid=27971&ppid=7894859&vpid=445986718&ct=offers,
48,1N4148W-7-F,Diodes Inc.,1N4148W-7-F,https://octopart.com/1n4148w-7-f-diodes+inc.-55386411,D1-D48,C109203,1N4148 0603,4800,1N4148W-FDITR-ND,C83528,621-1N4148W-F,Tape & Reel,,Tape & Reel,0.02805,0.0098,0.027,6064500,384200,1947808,3000,50,1,https://octopart.com/click/track?ai=8237&sig=0b9f80e&sid=459&ppid=55386411&vpid=188018376&ct=offers,https://octopart.com/click/track?ai=8237&sig=0349c17&sid=27971&ppid=55386411&vpid=445982004&ct=offers,https://octopart.com/click/track?ai=8237&sig=017f41d&sid=2401&ppid=55386411&vpid=187740178&ct=offers,LCSC,C83528,,0.0098,0.4704,47.04,384200,50,https://octopart.com/click/track?ai=8237&sig=0349c17&sid=27971&ppid=55386411&vpid=445982004&ct=offers,
1,1812L050PR,Littelfuse,1812L050PR,https://octopart.com/1812l050pr-littelfuse-569132,F1,C182310,PPTC Resettable Fuse,100,F2150CT-ND,C151169,576-1812L050PR,Cut Tape,,Tape & Reel,0.334,0.036,0.334,21507,2400,6294,1,10,1,https://octopart.com/click/track?ai=8237&sig=091763c&sid=459&ppid=569132&vpid=1307158&ct=offers,https://octopart.com/click/track?ai=8237&sig=0725a8f&sid=27971&ppid=569132&vpid=474819672&ct=offers,https://octopart.com/click/track?ai=8237&sig=098d5ce&sid=2401&ppid=569132&vpid=37664861&ct=offers,LCSC,C151169,,0.036,0.036,3.5999999999999996,2400,10,https://octopart.com/click/track?ai=8237&sig=0725a8f&sid=27971&ppid=569132&vpid=474819672&ct=offers,
1,ATMEGA32U4-AU,Microchip,ATMEGA32U4-AU,https://octopart.com/atmega32u4-au-microchip-77760310,IC1,C44854,,100,ATMEGA32U4-AU-ND,C44854,556-ATMEGA32U4-AU,Tray,Tray,Tray,3.4196,2.8045,3.41,1420,2261,2940,1,1,1,https://octopart.com/click/track?ai=8237&sig=0e97580&sid=459&ppid=77760310&vpid=408717062&ct=offers,https://octopart.com/click/track?ai=8237&sig=0b51e1e&sid=27971&ppid=77760310&vpid=450220924&ct=offers,https://octopart.com/click/track?ai=8237&sig=0ba1bf6&sid=2401&ppid=77760310&vpid=408978655&ct=offers,LCSC,C44854,Tray,2.8045,2.8045,280.45,2261,1,https://octopart.com/click/track?ai=8237&sig=0b51e1e&sid=27971&ppid=77760310&vpid=450220924&ct=offers,
1,TYPE-C-31-M-12,HRO Electronics,TYPE-C-31-M-12,https://octopart.com/type-c-31-m-12-hro+electronics-99357592,J1,C165948,,100,,C165948,,,,,,0.2227,,,2747,,,1,,,https://octopart.com/click/track?ai=8237&sig=0bf3cd2&sid=27971&ppid=99357592&vpid=531406307&ct=offers,,LCSC,C165948,,0.2227,0.2227,22.27,2747,1,https://octopart.com/click/track?ai=8237&sig=0bf3cd2&sid=27971&ppid=99357592&vpid=531406307&ct=offers,
1,SM04B-SRSS-TB(LF)(SN),JST,SM04B-SRSS-TB(LF)(SN),https://octopart.com/sm04b-srss-tb%28lf%29%28sn%29-jst-289307,J2,,JST-SH connector,100,455-1804-1-ND,,,Cut Tape,,,0.436,,,88937,,,1,,,https://octopart.com/click/track?ai=8237&sig=0c32a50&sid=459&ppid=289307&vpid=131672047&ct=offers,,,Digi-Key,455-1804-1-ND,Cut Tape,0.436,0.436,43.6,88937,1,https://octopart.com/click/track?ai=8237&sig=0c32a50&sid=459&ppid=289307&vpid=131672047&ct=offers,
1,LTST-C190KSKT,Lite-On,LTST-C190KSKT,https://octopart.com/ltst-c190kskt-lite-on-549898,L1,C192671,Yellow LED,100,160-1437-1-ND,,859-LTST-C190KSKT,Cut Tape,,Tape & Reel,0.0954,,0.066,158158,,47641,1,,1,https://octopart.com/click/track?ai=8237&sig=0699e00&sid=459&ppid=549898&vpid=1960261&ct=offers,,https://octopart.com/click/track?ai=8237&sig=022dd3a&sid=2401&ppid=549898&vpid=37630472&ct=offers,Mouser,859-LTST-C190KSKT,Tape & Reel,0.066,0.066,6.6000000000000005,47641,1,https://octopart.com/click/track?ai=8237&sig=022dd3a&sid=2401&ppid=549898&vpid=37630472&ct=offers,
3,ERJ-3EKF1001V,Panasonic,ERJ-3EKF1001V,https://octopart.com/erj-3ekf1001v-panasonic-55403646,R1 R10 R13,C101404,1K resistor 0603,300,P1.00KHCT-ND,C118155,667-ERJ-3EKF1001V,Cut Tape,,Tape & Reel,0.0264,0.0132,0.026,9019414,5800,4063847,1,20,1,https://octopart.com/click/track?ai=8237&sig=0f74647&sid=459&ppid=55403646&vpid=188060329&ct=offers,https://octopart.com/click/track?ai=8237&sig=0b36115&sid=27971&ppid=55403646&vpid=530412096&ct=offers,https://octopart.com/click/track?ai=8237&sig=06e38e4&sid=2401&ppid=55403646&vpid=187839571&ct=offers,LCSC,C118155,,0.0132,0.039599999999999996,3.96,5800,20,https://octopart.com/click/track?ai=8237&sig=0b36115&sid=27971&ppid=55403646&vpid=530412096&ct=offers,
2,ERJ-3EKF5101V,Panasonic,ERJ-3EKF5101V,https://octopart.com/erj-3ekf5101v-panasonic-55421801,R12 R11,C101769,5.1K resistor 0603,200,P5.10KHCT-ND,,667-ERJ-3EKF5101V,Cut Tape,,Tape & Reel,0.0264,,0.026,72207,,187922,1,,1,https://octopart.com/click/track?ai=8237&sig=0e3c34e&sid=459&ppid=55421801&vpid=188061719&ct=offers,,https://octopart.com/click/track?ai=8237&sig=0169fa7&sid=2401&ppid=55421801&vpid=187840047&ct=offers,Mouser,667-ERJ-3EKF5101V,Tape & Reel,0.026,0.052,5.2,187922,1,https://octopart.com/click/track?ai=8237&sig=0169fa7&sid=2401&ppid=55421801&vpid=187840047&ct=offers,
2,ERJ-3EKF22R0V,Panasonic,ERJ-3EKF22R0V,https://octopart.com/erj-3ekf22r0v-panasonic-9231677,R8 R9,C101576,22 resistor 0603,200,P22.0HCT-ND,,667-ERJ-3EKF22R0V,Cut Tape,,Tape & Reel,0.0264,,0.026,1021353,,312374,1,,1,https://octopart.com/click/track?ai=8237&sig=0466c3b&sid=459&ppid=9231677&vpid=115259518&ct=offers,,https://octopart.com/click/track?ai=8237&sig=08f095d&sid=2401&ppid=9231677&vpid=115231415&ct=offers,Mouser,667-ERJ-3EKF22R0V,Tape & Reel,0.026,0.052,5.2,312374,1,https://octopart.com/click/track?ai=8237&sig=08f095d&sid=2401&ppid=9231677&vpid=115231415&ct=offers,
1,B3U-1000P,Omron,B3U-1000P,https://octopart.com/b3u-1000p-omron-1057357,SW_RESET1,C231329,Push button,100,SW1020CT-ND,C231329,653-B3U-1000P,Cut Tape,,Tape & Reel,0.7251,0.2258,0.725,96028,8403,54483,1,1,1,https://octopart.com/click/track?ai=8237&sig=070966c&sid=459&ppid=1057357&vpid=34033658&ct=offers,https://octopart.com/click/track?ai=8237&sig=05c41a0&sid=27971&ppid=1057357&vpid=490107623&ct=offers,https://octopart.com/click/track?ai=8237&sig=051b9d6&sid=2401&ppid=1057357&vpid=37857541&ct=offers,LCSC,C231329,,0.2258,0.2258,22.58,8403,1,https://octopart.com/click/track?ai=8237&sig=05c41a0&sid=27971&ppid=1057357&vpid=490107623&ct=offers,
1,CPG151101S11,,,,SW1-SW48 SW_RESET2,,Kailh hotswap socket,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"PRTR5V0U2X,215",Nexperia,"PRTR5V0U2X,215",https://octopart.com/prtr5v0u2x%2C215-nexperia-78741691,,,ESD protection,100,1727-3884-1-ND,C12333,771-PRTR5V0U2X-T/R,Cut Tape,,Tape & Reel,0.3507,0.0764,0.255,254817,83610,63706,1,5,1,https://octopart.com/click/track?ai=8237&sig=082dfcc&sid=459&ppid=78741691&vpid=417206849&ct=offers,https://octopart.com/click/track?ai=8237&sig=08b41c0&sid=27971&ppid=78741691&vpid=452489975&ct=offers,https://octopart.com/click/track?ai=8237&sig=07e1c70&sid=2401&ppid=78741691&vpid=416182298&ct=offers,LCSC,C12333,,0.0764,0.0764,7.64,83610,5,https://octopart.com/click/track?ai=8237&sig=08b41c0&sid=27971&ppid=78741691&vpid=452489975&ct=offers,
1,CSTCC8M00G53-R0,Murata,CSTCC8M00G53-R0,https://octopart.com/cstcc8m00g53-r0-murata-751626,,,3-pin Oscillator,100,CSTCC8M00G53-R0-ND,C91578,,Bulk,,,,0.1818,,0,2982,,2000,1,,https://octopart.com/click/track?c=1&ai=8237&sig=0670ff1&sid=459&ppid=751626&vpid=88872949&ct=offers,https://octopart.com/click/track?ai=8237&sig=0a5ad14&sid=27971&ppid=751626&vpid=445986656&ct=offers,,LCSC,C91578,,0.1818,0.1818,18.18,2982,1,https://octopart.com/click/track?ai=8237&sig=0a5ad14&sid=27971&ppid=751626&vpid=445986656&ct=offers,
